dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
2022-05-01,1,5,2022,0,0,Hungary,HU,HUN,9769526,Europe
2022-05-01,1,5,2022,0,0,Iceland,IS,ISL,364134,Europe
2022-05-01,1,5,2022,0,0,Liechtenstein,LI,LIE,38747,Europe
2022-05-01,1,5,2022,101,8,Sweden,SE,SWE,10327589,Europe
2022-05-01,1,5,2022,110,0,Estonia,EE,EST,1328976,Europe
2022-05-01,1,5,2022,118,7,Lithuania,LT,LTU,2794090,Europe
2022-05-01,1,5,2022,120,0,Malta,MT,MLT,514564,Europe
2022-05-01,1,5,2022,1216,15,Belgium,BE,BEL,11522440,Europe
2022-05-01,1,5,2022,1256,11,Finland,FI,FIN,5525292,Europe
2022-05-01,1,5,2022,1318,4,Netherlands,NL,NLD,17407585,Europe
2022-05-01,1,5,2022,156,1,Latvia,LV,LVA,1907675,Europe
2022-05-01,1,5,2022,15769,18,Germany,DE,DEU,83166711,Europe
2022-05-01,1,5,2022,188,0,Ireland,IE,IRL,4964440,Europe
2022-05-01,1,5,2022,215,0,Poland,PL,POL,37958138,Europe
2022-05-01,1,5,2022,237,14,Slovakia,SK,SVK,5457873,Europe
2022-05-01,1,5,2022,242,2,Bulgaria,BG,BGR,6951482,Europe
2022-05-01,1,5,2022,244,1,Slovenia,SI,SVN,2095861,Europe
2022-05-01,1,5,2022,25,0,Luxembourg,LU,LUX,626108,Europe
2022-05-01,1,5,2022,36726,32,France,FR,FRA,67320216,Europe
2022-05-01,1,5,2022,3908,14,Austria,AT,AUT,8901064,Europe
2022-05-01,1,5,2022,397,9,Czechia,CZ,CZE,10693939,Europe
2022-05-01,1,5,2022,41591,105,Italy,IT,ITA,59641488,Europe
2022-05-01,1,5,2022,4701,22,Greece,EL,GRC,10718565,Europe
2022-05-01,1,5,2022,4773,18,Portugal,PT,PRT,10295909,Europe
2022-05-01,1,5,2022,492,7,Romania,RO,ROU,19328838,Europe
2022-05-01,1,5,2022,523,7,Croatia,HR,HRV,4058165,Europe
2022-05-01,1,5,2022,671,13,Denmark,DK,DNK,5822763,Europe
2022-05-01,1,5,2022,86,0,Norway,NO,NOR,5367580,Europe
2022-05-02,2,5,2022,,48,Spain,ES,ESP,47332614,Europe
2022-05-02,2,5,2022,0,0,Iceland,IS,ISL,364134,Europe
2022-05-02,2,5,2022,1106,7,Slovakia,SK,SVK,5457873,Europe
2022-05-02,2,5,2022,114,2,Malta,MT,MLT,514564,Europe
2022-05-02,2,5,2022,1291,3,Netherlands,NL,NLD,17407585,Europe
2022-05-02,2,5,2022,13,0,Liechtenstein,LI,LIE,38747,Europe
2022-05-02,2,5,2022,13593,16,Portugal,PT,PRT,10295909,Europe
2022-05-02,2,5,2022,1685,7,Czechia,CZ,CZE,10693939,Europe
2022-05-02,2,5,2022,173,0,Poland,PL,POL,37958138,Europe
2022-05-02,2,5,2022,19068,124,Italy,IT,ITA,59641488,Europe
2022-05-02,2,5,2022,2183,65,Hungary,HU,HUN,9769526,Europe
2022-05-02,2,5,2022,228,5,Bulgaria,BG,BGR,6951482,Europe
2022-05-02,2,5,2022,264,2,Sweden,SE,SWE,10327589,Europe
2022-05-02,2,5,2022,2665,30,Greece,EL,GRC,10718565,Europe
2022-05-02,2,5,2022,268,3,Lithuania,LT,LTU,2794090,Europe
2022-05-02,2,5,2022,4160,17,Finland,FI,FIN,5525292,Europe
2022-05-02,2,5,2022,418,0,Luxembourg,LU,LUX,626108,Europe
2022-05-02,2,5,2022,461,2,Slovenia,SI,SVN,2095861,Europe
2022-05-02,2,5,2022,465,0,Norway,NO,NOR,5367580,Europe
2022-05-02,2,5,2022,47,8,Croatia,HR,HRV,4058165,Europe
2022-05-02,2,5,2022,528,3,Romania,RO,ROU,19328838,Europe
2022-05-02,2,5,2022,5541,12,Austria,AT,AUT,8901064,Europe
2022-05-02,2,5,2022,560,0,Estonia,EE,EST,1328976,Europe
2022-05-02,2,5,2022,72,4,Latvia,LV,LVA,1907675,Europe
2022-05-02,2,5,2022,7221,22,Belgium,BE,BEL,11522440,Europe
2022-05-02,2,5,2022,780,11,Denmark,DK,DNK,5822763,Europe
